memory, inkling	abhav                 अभाव                                                          n.                       non-existence, absence,
supposition, assumption	kalpanashakti   कल्पनाशक्ति               powers of imagination
supposition, assumption	kalyan          कल्याण             n.     welfare, good
supposition, assumption	kalyanakari     कल्याणकारी         adj.   propitious, auspicious,
beneficial, good	kam             काम                n.     work, duty, job, occupation
beneficial, good	kam             कम                 adj.   little, less, small
beneficial, good	kam garnu       काम गर्नु          v.t.   to work
beneficial, good	kamal           कमाइ               n.     income, returns, mode of
earning	kamaunu         कमाउनु             v.t.   to earn, to acquire wealth,
to cultivate	kamdar          कामदार             n.     worker,    labourer, porter,
helper	kame}           कमेज               n.     shirt
helper	kamero          कमेरो              n.     white clay used in painting
walls	kamilo          कमिलो              n.     ant
walls	kamjori         कमजोरी             n.     weakness,     debility,
deficiency	kamkaj          कामकाज             n.     business, occupation, work
deficiency	kammal          कम्मल              n.     blanket
deficiency	kammar          कम्मर              n.     waist
deficiency	kamnu           कामनु              VI.    to tremble, to shiver
deficiency	kamta           कम्ता              adj.   less, insufficient, short
deficiency	kamti           कम्ती              adj.   less, insufficient, short
deficiency	kan             कान                n.     ear
deficiency	kancat          कन्चठ              n.     temple
deficiency	kanchi          कान्छी             n.     last born female child, nice
young girl	kancho          कान्छो             n.     youngest [of brothers]
young girl	kanco           काँचो              adj.   raw, unripe, immature
young girl	kand            काण्ड              n.     chapter, branch, incident
young girl	kandha          काँध                      shoulder
young girl	kandhinu        काँधिनु            VI.    to be fatt [with eating]
young girl	kando           काँडो              n.     thorn
young girl	kanggal         कङ्गाल             adj.   poor, penniless, penurious
young girl	kanka loti      कान्का लोती        n.     ear lobes
66	kankro          काँक्रो             n.     cucumber
66	kano            कानो                adj.   blind in one eye, one-eyed
66	kanparo         कन्पारो             n.     temple
66	kanso           काँसो               n.     bronze
66	kanta           काँटा               n.     fork
66	kantipur        कान्तिपुर                  Kantipur [an old name for
Kathmandu]	kanun           कानून               n.     law, regulation
Kathmandu]	kanun bamojit   कानून बमोजित               according to the law, in
conformity with the law	kapada          कपडा                n.     cloth, clothing, apparel,
wear	kapal           कपाल                n.     hair of the head,     head
wear	kapal kornu     कपाल कोर्नु         v.t.   to comb the hair
wear	kapal nuhaunu   कपाल नुहाउनु        v.t.   rinse hair
wear	kaphal          काफल                n.     a fruit like strawberry but
with a hard pit	kaphi           कफी                 n.     coffee
with a hard pit	kapnu           कप्नु               v.t.   to carve, to chisel
with a hard pit	kar             कार                 n.     Car
with a hard pit	kar             कर                  n.     tax
with a hard pit	kara            कारा                n.     imprisonment, confinement
with a hard pit	karadanda       कारादण्ड            n.     prison sentence
with a hard pit	karagar         कारागार             n.     prison, jail
with a hard pit	karagriha       कारागृह             n.     prison, jail
with a hard pit	Karal           कराई                n.     cooking pot [with a wide
mouth]	karamat         करामत               n.     miracle
mouth]	karan           कारण                n.     Cause, motive, purpose,
reason, occasion, origin	karaunu         कराउनु              VI.    to shout
reason, occasion, origin	karavas         कारावास             n.     prison sentence
reason, occasion, origin	kardata         करदाता              n.     tributory,     tax-paying, tax-
payer	karelo          करेलो               n.     a bitter vegetable,     bitter
gourd	karib           करीब                adv.   almost, approximately
gourd	karigar         कारीगर              n.     artisan
gourd	karkhana        कारखाना             n.     workshop, factory,
manufactory	karma          कर्म                  n.      deed, act, work
manufactory	karmacari      कर्माचारी             n.      employee, officer
manufactory	karod          करोड                  num.    crore, 10 million,
10.000.000	kartavya       कर्तव्य               n.      duty, task
10.000.000	Kartik         कार्तिक               n.      seventh month of the
November)	karuva         करुवा                 n.      brass pot with a spout
November)	karya          कार्य                 n.      action, act, duty,
function, role	karya samiti   कार्य समिति                   working committee
function, role	karyakarini    कार्यकारिणी                   executive
function, role	karyakram      कार्यक्रम             n.      programme,        schedule
function, role	karyalaya      कार्यालय              n.      workshop, office
function, role	karyanvayan    कार्यान्वयन           n.      execution,   implementation
function, role	karyapalika    कार्यपालिका           n.      executive
function, role	karyashala     कार्यशाला             n.      workshop
function, role	kasari         कसरी                  pron.   how? in what way?
mouth]	kasle lagyo?   कस्ले लाग्यो ?        comp.   who   has taken it?
eT	kast           कष्ट                  n.      pain, distress, trouble,
hardship	katahar        कटहर                  n.      jack fruit
hardship	kataunu        कटाउनु                v.t.    to cause to be cut, to cause
to be beheaded	katauro        कटौरो                 n.      cup
to be beheaded	katha          कथा                   n.      story, tale, fable, narrative
to be beheaded	katha halnu    कथा हाल्नु            comp.   to tell a story
to be beheaded	kathan         कथन                   n.      utterance,   narration,
statement	kathin         कठिनु                 adj.    difficult, hard, arduous,    not
easy	kathinai       कठिनाई                n.      difficulty
easy	kathit         कथित                  adj.    said, narrated, told
cruel	katinu                                  ४...    to be cut
milnu	ketaketima            केटाकेटीमा        comp.   in childhood
milnu	keti                  केटी              n.      girl
milnu	keto                  केटो              n.      boy
milnu	keval                 केवल              adv.    only, mere, all, whole
69	khabar            खबर                n.     message
69	khabarkagat       खबरकागत            n.     newspaper
69	khacar            खच्चर              n.     mule
69	khada             खडा                adj.   erect, upright
hold	khadyanna         खाद्यान्न          n.     food grains
hold	khagat            खागत               n.     paper
hold	khairo            खैरो               adj.   brown
hold	khaja             खाजा               n.     snack
hold	khajasaja         खाजासाजा           n.     snack
hold	khajur            खजुर               n.     date
hold	khala             खाला               n.     the outer layer of skin
hold	khaldo            खाल्डो             n.     valley, ditch, trench, pit,
hole	khali             खाली               adj.   only, mere,    merely, alone
hole	khamba            खम्बा              n.     pillar, pole, post
hole	khanaunu          खनाउनु             v.t.   to cause to be dug
hole	khanci            खाँची              n.     Khanchi [one of the former
mini stets of western Nepal]	khanco            खाँचो              n.     requirement,     need,
necessity	khand             खण्ड               n.     part, section, chapter,
division, piece, canto	khandan           खण्डन              n.     refutation, rebuttal,
repudiation, denial	khandit           खण्डित             adj.   broken into pieces, split
repudiation, denial	khanekura         खाने कूरा          n.     food
repudiation, denial	khani             खानि               n.     mine
repudiation, denial	khanij            खनिज               n.     minerals
repudiation, denial	khanij padartha   खनिज पदार्थ        n.     mineral product
repudiation, denial	khaninu           खनिनु              ४.1.   to be poured out
repudiation, denial	khannu            खन्नु              v.t.   to dig
repudiation, denial	khanu             खानु               v.t.   to eat
repudiation, denial	khanyaunu         खन्याउनु           v.t.   to pour out
70	khapat        खपत          n.       consumption,         sale, demand
70	khappar       खप्पर        n.       skull
70	kharab        खराब         adj.     bad, wicked, spoiled,
discharged	khasnu                     ४...     to fall, to die
reserve	khumcinu                           ४.1.       to shrink
khutrukka	खुतुक्क            n.         the sound produced by little
khutto	खुट्टो             n.         leg
khutto	khuvaunu        खुवाउनुT           v.t.       to feed
interrogation or doubt	kilakile        किलकिले            n.         uvula
interrogation or doubt	kimbu           किम्बु             n.         mulberry
interrogation or doubt	kina            किन                pron.      why?
interrogation or doubt	kinabhane       किनभने             Conj.      because
interrogation or doubt	kinamel garnu   किनमेल     गर्नु   v.t.       to go shopping, to buy
talk, tradition	kira            कीरा               n.      worm
talk, tradition	kiraya          किराया             n.      hire, rent
talk, tradition	kiro            कीरो               n.      insect, worm
talk, tradition	kirtiman        कीर्तिमान          adj.    renowned, famous,
celebrated	kisam           किसम               n.      kind, sort, class, species
celebrated	kisan           किसान              n.      farmer, peasant
celebrated	kisim           किसिम              n.      kind, sort, class, species
celebrated	kismis          किसमिस             n.      raisins
celebrated	kisti           क्स्ती             n.      tray
celebrated	kitli           कित्ली             n.      kettle
celebrated	kitnu           किट्नु             v.t.    to grind teeth, to gnash, to
resolve	kodali          कोदाली             n.      spade (with short handle)
resolve	kodalo          कोदालो             n.      spade (with long handle)
resolve	kodo            कोदो               n.      a kind of millet
resolve	kohi            कोही               adj.    anybody, anyone, someone
resolve	koila           कोइला              n.      coal
resolve	koili           कोइली              n.      cuckoo
resolve	kop             कोप                n.      anger, wrath
resolve	kop-bhajan      कोप-भाजन           n.      victim of anger
resolve	kopila          कोपिला             n.      bud
resolve	koriya          कोरिया             n.      Korea
kornu	कोर्नु             v.t.    to scratch
kornu	kos             कोस                n.      a measure of length
(distance of about 2 miles)	koshish         कोशिश              n.      endeavour,        attempt,
exertion, effort	koshish garnu   कोशिश गर्नु        v.t.    to try
exertion, effort	kot             कोट                n.      coat
exertion, effort	kotha           कोटा               n.      room
exertion, effort	kotparva        कोतपर्व            n.      (a histsorical event: Jang
family into power)	kotparva pashcat   कोतपर्व पश्चात                after the coup of 1846
family into power)	kotyaunu           कोटयाउनु              v.t.    to prick, to scratch
family into power)	kram               क्रम                  n.      series, chain, order,
method	kramashah          क्रमश:                adj.    step by step, by degree,
serially, successively	krambodhak         क्रमबोधक              n.      ordinal number
serially, successively	kramjor            क्रमजोर               adj.    weak, ineffective
serially, successively	kranti             क्रान्ति              n.      revolution, pace,
invading, surpassing	krishna paksha     कृष्ण पक्ष            comp.   dark fortnight, the phase of
the waning moon	krisi              कृषि                  n.      agriculture
the waning moon	krisi utpadan      कृषि उत्पादन          n.      agricultural production
the waning moon	kritagya           कृतज्ञ                adj.    thankful, grateful
the waning moon	kriyakalap         क्रियाकलाप            n.      functions,    rites, ceremonies
the waning moon	kriyapad           क्रियापद              n.      verb
the waning moon	kriyayogi          क्रियायोगी            n.      adverb
the waning moon	kshamata           क्षमता                n.      ability, capacity, might,
power	kshetra            क्षेत्र               n.      file, plot of land, area
power	kshetraphal        क्षेत्रफल             n.      products of the land, field
crops, area	kucakra            क्‌चक्र               n.      intrigue, a secret plot
crops, area	kucyaunu           कृ्‌च्याउनु           v.t.    to crush
crops, area	kudnu                                    ४.1.    to run
Fad	kuhino             कृहिनो                n.      elbow
Fad	kuhuno             कृहुनो                n.      elbow
Fad	kuhunu                                   ४.1.    to rot
eed	kukhurako bhale    कुखुराको भाले         n.      cock, rooster
eed	kukhurako pothi    कुखुराको पोथी         n.      hen
kukhuri	कुखुरी                n.      hen
kukhuri	कुकुर
74	kul                 कूल                     n.         race, generation, family,
clan, dynasty, parentage	kumari              कुमारी                  n.         princess, unmarried women
clan, dynasty, parentage	kun                 क्‌न                    adj.       which, what
clan, dynasty, parentage	kuncahin            कुनचाहिँ                adj.       which one?
kund	कुण्ड                   n.         pond, tank
kund	kunni               कुन्नि                  adv.       | don't Know, perhaps,
maybe	kuposan             कुपोषण                  n.         malnutrition
maybe	kura                क्रा                    n.         word, matter, affair, talk
maybe	kurakani            कुराकानी                n.         conversation, talk, chat
maybe	kurauni             कुराउनी                 n.         milk boiled down till nearly
solid	kushal              कुशल                    n./adj.    happiness, wellbeing;
skilful, proficient, expert	kushasan            कुशासन                  n.         bad government,
maladministration	kusti               कुस्ती                  n.         wrestling
maladministration	kusti khelnu        कृस्ती खेल्नु                      to wrestle
maladministration	kutapita            कुटपिट                  n.         beating, exchange      of blows
maladministration	kutnaitik kshetra   कुटनैतिक क्षेत्र        n.         strategical area
Rat	kvartj              क्वार्दज                n.         quartz
Rat	kyare               क्यारे                             | suppose
Rat	labh                लाभ                     n.         value, profit, gain, earning,
advantage	lacar               लाचार                   adj.       unable,     helpless, obliged
advantage	ladain              लडाईं                   n.         war, battle, fighting, strife
advantage	ladnu               लड्नु                   v.i/v.t.   to fight, to struggle, to fall
down	lagabhaga           लगभग                    adv.       about,    nearly,
approximately, almost	lagaeko             लगाएको                  adj.       used
approximately, almost	lagani              लगानी                   n.         investment
approximately, almost	lagaunu             लगाउनु                  v.t.       to use, to put on, to wear,
to set up, to cause to work	lagayat         लगायत                        postp.   including, together with
to set up, to cause to work	laghukatha      लघुक्था                      n.       short story
to set up, to cause to work	laghu-katha     लघु-क्था                     n.       short story
to set up, to cause to work	lagnu           लाग्नु                       VI.      to appear, to begin, to start,
to join	lagu            लागु                         adj.     intoxicating, exciting
to join	lahad           लहड                          n.       entertainment, diversion of
mind, amusement, joke	lahad aunu      लहड आउनु                              to wish
mind, amusement, joke	lahar           लहर                          n.       ripple, small wave, surge,
undulation	lahari          लहरी                         n.       ripple, small wave, surge,
undulation	laihernu        लाइहेर्नु                    v.t.     to try on [clothes]
undulation	laijanu         लैजानु                       v.t.     to carry, to take away
undulation	laj             लाज                          n.       shame,     shyness,   modesty
undulation	lajja           लज्जा                        n.       shame, shyness,
1.00.000	lakshmiprasad   लक्ष्मीप्रसाद देवकोटा        n.       Lakshmi Prasad Devkota [a
1.00.000	lakshya         लक्ष्य                       n.       aim, target, goal
1.00.000	lalitour        ललितपुर                      n.       Lalitpur, Patan [a
Kathmandu]	lam             लाम                          n.       a long line, a queue
Kathmandu]	lamai           लमाइ                         n.       length
Kathmandu]	lamba           लम्बा                        adj.     long
Kathmandu]	lamkanu         लम्कनु                       VI.      to walk with long steps, to
stride	lamkhutte       लामखुट्टे                    n.       mosquito
stride	lamo            लामो                         adj.     long
stride	lampasar        लम्पसार                      adj.     prostrate, stretched out
stride	lamtann         लमतन्न                       adj.     prostrate, stretched out
76	lanchana           लान्छना         n.     stigma, blame, slander
76	lanu               लानु            v.t.   to take away, to remove
76	lapakka            लपक्क           adv.   adhering, attaching,
stricking	lapsi              लप्सी           n.     a kind of sour fruit
stricking	larbarinu          लर्बरिनु        ४.1.   to reel, to stagger, to sway
stricking	lash               लाश             n.     carcass, dead       body
stricking	lasun              लसुन            n.     garlic
stricking	latanpatan         लटनपटन          n.     deceit, fraud
stricking	lataramma          लटरम्म          adj.   in bunches,      in clusters
stricking	lato               लाटो            adj.   dumb
stricking	latti              लात्ती          n.     kick
stricking	launu              लाउनु           v.t.   to put on (clothes), to ware
stricking	lauro              लौरो            n.     stick
stricking	lek                लेक             n.     hilly region, the higher
slope of a mountain	lekha              लेख             n.     prose composition, writing,
essay, article	lekhak             लेखक            n.     author, writer
essay, article	lekhinu            लेखिनु          VI.    to be written
essay, article	lekhnath paudyal   लेखनाथ पौडयाल          Lekh Nath Paudyal [a
famous Nepali poet]	lekhpadh           लेखपढ           n.     reading and writing, study
famous Nepali poet]	leninvad           लेनिनवाद        n.     Leninism
famous Nepali poet]	licchavi           लिच्छवि         n.     Licchavi [an early ruling
valley]	licchavikal        लिच्छविकाल      n.     Licchavi era
valley]	ligalige           लिगलिगे         n.     uvula
valley]	likhat             लिखत            adj.   written
valley]	likhit             लिखित           adj.   written
valley]	lila               लीला            n.     a play, amusement,
diversion	lilam              लिलम            n.     auction
diversion	limbu              लिम्बू          n.     Limbu [a Nepali nationality]
diversion	ling               लिङ्ग           n.     gender [gram.]
diversion	linu               लिन्‌ No
accept	lipi               लिपि            n.     script, writing, handwriting
people	loktantra       लोकतन्त्र            n.       democracy
people	luga            लुगा                 n.       clothes, clothing
at     dt	luga lagaunu    लुगा लगाउनु          v.t.     put on clothes
at     dt	luga launu      लुगा लाउनु           v.t.     put on clothes
at     dt	luga phernu     लुगा फेर्नु          v.t.     change clothes
at     dt	luga phukalnu   लुगा फुकाल्नु        v.t.     take off clothes
at     dt	luga phukaunu   लुगा फुकाउनु         v.t.     take off clothes
at     dt	luknu                                ४...     to hide
at     dt	लुक्नु
at     dt	lvang           ल्वाङ                n.       clove
at     dt	lyaunu          ल्याउनु              v.t.     to bring, to fetch
at     dt	ma              मा                   postp.   in, at, on, among
at     dt	macan           मचान                 n.       stage
at     dt	maccinu         मच्चिनु              ४...     to swing
at     dt	macha           माछा                 n.       fish
at     dt	macha marnu     माछा मार्नु          v.t.     to fish
at     dt	madat dinu      मदत दिनु             v.t.     to help, to assist
at     dt	madhes          मधेस                 n.       the Tarai (the southern flat
border)	madhya-din      मध्य दिन             n.       noon
border)	madhyakalin     मध्यकालीन            adj.     mediaeval
border)	madhyam         माध्यम               n.       medium
border)	madhyamik yug   माध्यमिक युग         n.       middle ages
border)	madhyanha       मध्यान्ह             n.       noon
border)	madhyarat       मध्यरात              n.       midnight
78	madhyavadhi nirvacan   Hearata          निर्वाचन        n.        mid-term elections
78	madhye                 मध्ये                            postp.    amongin the middle, at the
inside	mag                    माग                              n.        demand, claim
inside	maga}                  मगज                              n.        brain
inside	magar                  मगर                              n.        Magar [a Nepali nationality]
inside	magh                   माघ                              n.        tenth month of the Nepali
year [January/February]	magne                  माग्ने                           n.        beggar
year [January/February]	magnu                  माग्नु                           v.t.      to ask for
year [January/February]	maha                   मह                               n.        honey
year [January/February]	mahadhiveshan          महाधिवेशन                        n.        general assembly, general
meeting	mahajan                महाजन                            n.        moneylender,    rich man,
virtuous man	mahakavi               महाकवि                           n.        great poet [a title for
Bhanubhakta Acharya]	mahal                  महल                              n.        palace
Bhanubhakta Acharya]	mahango                महँगो                            adj.      expensive
Bhanubhakta Acharya]	mahasul                महस्‌ल                           n.        cess, tax, rate, custom,
octroi	mahasus                महस्‌स                           n./adj.   feeling, experience,
understanding	mahatta                महत्ता                           n.        greatness,   magnitude,
gravity, glory, importance	mahattva               महत्त्व                          n.        greatness,   magnitude,
gravity, glory, importance	mahattvakanksha        महत्त्वकांक्षा                   n.        high ambition, great desire
gravity, glory, importance	mahattvakankshi        महत्त्वकांक्षी                   adj.      ambitious
gravity, glory, importance	mahattvapurna          महत्त्वपूर्ण                     adj.      superb, royal, regal, palmy,
magnanimous, generous	mahila                 महिला                            n.        woman
magnanimous, generous	mahilo                 माहिलो                           n.        second eldest [of brothers]
magnanimous, generous	mahima                 महिमा                            n.        exaltation
magnanimous, generous	mahina                 महीना                            n.        month
magnanimous, generous	mahina                 महिना                            n.        month
magnanimous, generous	maida                  मैदा                             n.        fine flour
magnanimous, generous	maidan                 मैदान                            n.        an open field
magnanimous, generous	maiju                  माइज्‌                           n.        mother's brother's wife
79	mailo                मैलो                  adj.    dirty
79	mailo                माइलो                 n.      second eldest [of brothers]
79	main batti           मैन बत्ती             n.      candle
79	maina                मैना                  n.      a name applied to several
addressing a daughter	maja                 मजा                   n.      happiness, enjoyment,
rejoicing	majako               मजाको                 adj.    pleased, funny
rejoicing	majha                माझ                   n.      middle, centre
rejoicing	majhi                माझी                  n.      Majhi [a Nepali nationality]
A	makai                मक                    n.      corn, maize
A	makal                मकल                   n.      a small moveable
heating	malai man parcha     मलाई मन पर्छ          comp.   | like
heating	malai man pardaina   मलाई मन पर्दैन        comp.   | don't like
heating	malai thah chaina    मलाई थाहा छैन         comp.   | don't know
heating	malesiya             मलेसिया               n.      Malaysia
heating	malilo               मलिलो                 adj.    fertile, manured
heating	maltal               मालताल                n.      article, goods
heating	mama                 मामा                  n.      mother's brother
heating	man                  मन                    n.      mind, thought, mental
state, heart, feeling	man      aunu        मन आउनु                       to long, to wish
state, heart, feeling	manadeva             मानदेव                n.      Manadeva [name of
Licchavi era]	manahi               मनाही                 n.      prohibition, control
Licchavi era]	manal                मनाई                  n.      prohibition, control
Licchavi era]	mananiya             माननीय                adj.    honorable,     respectable,
venerable	manasib              मनासिब                adj.    right, just, proper,
80	manaunu        मनाउनु              v.t.   to celebrate
80	manav          मानव                n.     mankind,      man,   human
being	manavshastra   मानवशास्त्र         n.     anthropology
being	manbodhak      मानबोधक             adj.   honorific [grammar]
being	manc           मञ्च                n.     dais, raised platform, stage
being	mancari        मञ्चरी              n.     cluster of buds and flowers,
flower bud	manche         मान्छे              n.     man, person
flower bud	mandro         मान्द्रो            n.     large bamboo or cane mat
flower bud	mangal         मंगल                n.     the planet Mars
flower bud	mangalvar      मंगलवार             n.     Tuesday
flower bud	mangga         माग                 n.     demand,       requirement,
requisition	manglavar      मंग्लवार            n.     Tuesday
requisition	mangoliya      मंगोलिया                   Mongolei
requisition	mangsir        मंगसीर              n.     eighth month of the Nepali
year [November/December]	mani           मानी                adj.   respectable, respectful
year [November/December]	manis          मानिस               n.     man, person
year [November/December]	mannu          मान्नु              v.t.   to respect, to worship, to
accept, to observe	manoranjan     मनोरञ्जन            n.     amusement,       entertainment,
recreation	manovigyan     मनोविज्ञान          n.     psychology
recreation	manovigyanik   मनोविज्ञानिक        adj.   psychological
recreation	manparaunu     मनपराउनु            v.t.   to like, to approve, to prefer
recreation	mansthiti      मनस्थिति            n.     mental state
recreation	mantavya       मन्तव्य             n.     view, opinion, remark,       note,
comment	mantralaya     मन्त्रालय           n.     ministery
comment	mantri         मन्त्री             n.     minister
comment	manyata        मान्यता             n.     recognition, validity,
accredition	mapdanda       मापदण्ड             n.     touchstone,     standard
accredition	maramar        मारामार             n.     fight
accredition	marathi        मराठी               n.     Marathi
accredition	marg           मार्ग               n.     eighth month of the Nepali
dogma, belief	matabhed            मतभेद                   n.        difference of opinion
dogma, belief	matako              माटाको                  adj.      earthen
dogma, belief	matganana           मतगणना                  n.        counting of votes
dogma, belief	mathi               माथि                    postp.    above
dogma, belief	mathlo tala         माथ्लो तला              n.        upper floor
dogma, belief	matnu               मात्नु                  V.1.      to get drunk
dogma, belief	mato                मतो                     n.        consultation, counsel,
opinion	mato                माटो                    n.        earth, clay, soil
opinion	matoko sarvekshan   माटोको सर्वेक्षण        n.        soil survey
opinion	matribhakta         मात्रभक्त               n.        a devotee of one's mother
opinion	matribhasa          मात्रभाषा               n.        mother tongue
opinion	matriprem           मात्रप्रेम              n.        mother love
opinion	maulik              मौलिक                   adj.      Original
opinion	mauna               मौन                     n.        silence, taciturnity, mum
opinion	mauri               मौरी                    n.        bee, honeybee
opinion	mausam              मौसम                    n.        weather, season,         monsoon
opinion	mausimi             मौसिमी                  adj.      seasonal
opinion	mausuph             मौसूफ                   pron.     personal address towards
pronoun]	maya                माया                    n.        love
pronoun]	maya garnu          माया     गर्नु          v.t.      to love
pronoun]	पने
pronoun]	mece                मच                      n.        Meche [a Nepali nationality]
82	meghalaya     मेघालय             n.     Meghalaya [a Northeast
Indian state]	mehanat       मेहनत              n.     industry, labour, hard work
meva                             n.     melon	midiya        मिडिया             n.     media
meva                             n.     melon	mihi          मिही               adj.   fine, fine spun, finely
smooth	mihinet       मिहिनेत            n.     labour, industry, work, toil
smooth	mihineti      मिहिनेती           adj.   industrious, hardworking,
busy, active	milaunu       मिलाउनु            v.t.   to reconcile, to resolve, to
solve, to balance	milnu         मिल्नु             VI.    to agree, to fit in, to mingle
to mix up, to befit	mirg          मिर्ग              n.     deer
to mix up, to befit	misaunu       मिसाउनु            v.t.   to mingle, to mix up
together	misri         मिस्री             n.     sugar candy, rockcandy
together	mit           मीत                n.     friend (ritually concluded)
together	mit lagaunu   मीत लगाउनु         v.t.   to make friends (ritually)
together	mithai        मिठाई              n.     sweets
together	mitho         मीठो               adj.   delicious, tasteful, tasty
together	miti          मिति               n.     date, day, limit, time
motar                            n.     car	motar haknu   मातर      हाक्नु   v.t.   to drive a car
motar                            n.     car	motaunu          मोटाउनु              ४.1.     to get fat
motar                            n.     car	moto             मोटो                 adj.     fat
motar                            n.     car	मृग
motar                            n.     car	मृत्यु
motar                            n.     car	mrityuko danda   मृत्युको दण्ड        n.       death penalty
motar                            n.     car	mudki            मुड्की               n.       blow of a fist
motar                            n.     car	mudra            मुद्रा               n.       seal, coin, gesture
motar                            n.     car	mudrak           मुद्रक               n.       printer
motar                            n.     car	mudrakshar       मुद्राक्षर           n.       printing type
motar                            n.     car	mudralaya        मुद्रालय             n.       press, printing place
n.       act of printing	muhan            मुहान                n.       source of a river or an
irrigation canal	muhar            गुहार                n.       facade
camping place	mukh             म्‌ख                 n.       mouth, face
qa dt	mukhyat          मुख्यत               adv.     chiefly, mainly, principally,
primarily	mukta            मुक्त                adj.     liberated, released
mukta garnu	मुक्त गर्नु          v.t.     to free
mukta garnu	mul              म्‌ल                 n.       root, source, origin
mukta garnu	mula             म्‌ला                n.       radish
mukta garnu	mulak            मूलक                 postp.   based on, depending       on,
primarily, essentially	mulayat          मुलायत               adj.     soft
primarily, essentially	mulsadak         मृलसडक               n.       main road
muluk	मुलुक                n.       country, realm, kingdom
muluk	mulvasi          म्‌लवासी             n.       native, original inhabitant
84	mulya             म्‌ल्य                n.        cost, price, worth, value
84	mulyangkan        मुल्याङ्गन            n.        valuation, estimation
84	muma              मुमा                  n.        mother [used by upper
bean	muni              मुनि                  postp.    below,     under
bean	muntira           मुन्तिर               postp.    downwards,         below,   under
bean	musaldhare        कुसलधारे              adj.      torrential, heavy
bean	muskaunu          मुस्काउनु             ४.1.      to smile
bean	muskuraunu        मुस्क्राउनु           v.t.      to smile
bean	muso              म्‌सो                 n.        mouse,     rat
bean	musoko dulo       मूसोको दुलो           n.        mousehole
musuro	मुसुरो                n.        a kind of lentils
musuro	muthi             मुठी                  n.        fist
musuro	मुटु
musuro	mvain             म्वाइँ                n.        kiss
musuro	mvain khanu       म्वाइँ खानु                     to kiss
musuro	myaun garnu       मयाउँ गर्नु           v.t.      to mew
musuro	na                न                     Conj.     neither, nor
musuro	nabbe             नब्बे                 num.      ninety, 90
musuro	nac               नाच                   n.        dance
musuro	nacnu             नाच्नु                V.1.      to dance
musuro	nadi              नदी                   n.        river
musuro	nagar             नगर                   n.        town, city
musuro	nagarik           नागरिक                adj.      civil, urban, metropolitan
musuro	nagarik shastra   नागरिक शास्त्र        n.        Civics, civic studies
musuro	nagarpalika       नगरपालिका             n.        municipality, municipal
a	nal               ने                    part.     a particle used after the
word to give emphasis	nain              नाईं                  inter].   no, negation
word to give emphasis	naitikta          नैतिकता               n.        morals,    morality, ethics
word to give emphasis	naito             नाइटो                 n.        navel
word to give emphasis	najar             नजर                   n.        eye, vision, sight, look,
85	najarana       नजराना            n.     gift, present
85	najarana       नजराना            n.     gift, present, presentation
85	najaya|        नाजायज            adj.   improper
85	najik          नजीक              adj.   near, close to, next to
85	najitnu        नजित्नु           v.t.   not to win
85	nak            नाक               n.     nose
85	nakka pora     नाकका पोरा        n.     nostrils
85	nakkal         नक्कल             n.     copy, fashion
85	naksha         नक्शा             n.     pattern, map,   plan, chart
85	nalikhutto     नलिखुट्टो         n.     shin-bone
85	nam            नाम               n.     name, noun
85	namak          नामक              adj.   named, bearing the name
of	namasthanik    नामस्थानिक        adj.   independent from a noun
of	namdar         नामदार            adj.   famous well known
of	namkaran       नामकरण            n.     naming ceremony, baptism
of	namkarma       नामकर्म           n.     naming ceremony, baptism
of	nam-namasi     नाम-नामासी        n.     name and address
of	namnishan      नामनिशान          adj.   name, trace, mark;    name
and address	namyogi        नामयोगी           n.     postposition
and address	nanda          नन्द              n.     husband's younger sister
and address	nandebhal      नन्देभाइ          n.     husband's younger sister's
husband	nang           नङ                n.     nail
husband	nangge         नाङ्गे            adj.   naked, uncovered
husband	nanggo         नाङ्गो            adj.   naked, uncovered
husband	nani           नानी              n.     baby
husband	napunsakling   नपुंसकलिङ         n.     neuter [grammar]
husband	nara           नारा              n.     slogan, striking word,
phrase	naram          नरम               adj.   soft, delicate, kind, gentle
phrase	naramro        नराम्रो           adj.   bad, not good
phrase	nardan         नर्दन             n.     neck
phrase	narendra       नरेन्द्र          n.     king
phrase	naresh         नरेश              n.     king
phrase	nari           नारी              n.     wrist, pulse
86	narival        नरिवल              n.        coconut
86	naso           नसो                n.        vein
86	naspati        नस्पाती            n.        pear
86	nata           नाता               n.        relationship, alliance
86	natadar        नातादार            n.        relative
86	nati           नाति               n.        grandson
86	natija         नतिजा              n.        result, consequence
86	natin          नातिनी             n.        granddaughter
86	natishitosna   नातिशीतोष्ण        adj.      temperate,     moderate
86	नै
86	naun           नाउँ               n.        name
86	naun caleka    नाउँ चलेका         adj.      well known, famous
86	nauni          नौनी               n.        butter
86	navaun         नवौं               adj.      ninth
86	nayakatva      नायकत्व            n.        leadership, hegemony
86	nayan          नयाँ               adj.      new
86	nebharo        नेभारो             n.        fig
86	nepalgan|      नेपालगन्ज          n.        Nepalganj [a town in the
western Tarai]	nera           नेर                adj.      near, near by, close by, not
